Age,Travel Style,Monthly Income (USD),Preferred Activities 1,Preferred Activities 2,Preferred Activities 3,Preferred Travel Season,Preferred Mode of Transportation,Tech Savvy,Accommodation Type,Category
47.0,solo,7613.0,Whale Watching,Lake and River,Ayurvedic Spas,Spring,Van,Medium,Hotel,Luxury & Relaxation
59.0,group,7221.0,Beaches,Hill Country,Ayurvedic Spas,Spring,Uber,Low,Hotel,Luxury & Relaxation
53.0,solo,8622.0,Beaches,Lake and River,Hill Country,Spring,AC-Bus,Low,Guesthouse,Luxury & Relaxation
56.0,group,8625.0,Ayurvedic Spas,Beaches,Boutique Hotels,Fall,Uber,Low,Hotel,Luxury & Relaxation
41.0,group,6841.0,Beaches,Boutique Hotels,Whale Watching,Spring,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
52.0,solo,9253.0,Hill Country,Whale Watching,Lake and River,Spring,AC-Bus,Low,Guesthouse,Luxury & Relaxation
58.0,group,8822.0,Lake and River,Beaches,Whale Watching,Spring,Van,Low,Guesthouse,Luxury & Relaxation
56.0,group,9747.0,Beaches,Ayurvedic Spas,Lake and River,Spring,Uber,Low,Resort,Luxury & Relaxation
51.0,solo,7619.0,Beaches,Boutique Hotels,Lake and River,Spring,AC-Bus,Low,Hotel,Luxury & Relaxation
42.0,solo,5899.0,Beaches,Lake and River,Boutique Hotels,Spring,Uber,Medium,Hotel,Luxury & Relaxation
56.0,solo,9750.0,Hill Country,Whale Watching,Ayurvedic Spas,Spring,Car,Low,Resort,Luxury & Relaxation
44.0,couples,5498.0,Hill Country,Whale Watching,Boutique Hotels,Winter,Van,Medium,Hotel,Luxury & Relaxation
57.0,group,7008.0,Boutique Hotels,Lake and River,Whale Watching,Spring,Car,Low,Resort,Luxury & Relaxation
51.0,couples,6502.0,Ayurvedic Spas,Beaches,Boutique Hotels,Winter,Uber,Low,Resort,Luxury & Relaxation
43.0,solo,6259.0,Ayurvedic Spas,Beaches,Whale Watching,Spring,AC-Bus,Medium,Hotel,Luxury & Relaxation
42.0,couples,7104.0,Beaches,Whale Watching,Ayurvedic Spas,Spring,Car,Medium,Hotel,Luxury & Relaxation
43.0,couples,6189.0,Hill Country,Whale Watching,Beaches,Spring,PickMe,Medium,Resort,Luxury & Relaxation
43.0,solo,7877.0,Boutique Hotels,Whale Watching,Beaches,Winter,Van,Medium,Hotel,Luxury & Relaxation
48.0,solo,5982.0,Hill Country,Beaches,Whale Watching,Spring,Van,Medium,Hotel,Luxury & Relaxation
47.0,couples,6598.0,Lake and River,Hill Country,Ayurvedic Spas,Spring,PickMe,Medium,Resort,Luxury & Relaxation
43.0,group,5713.0,Lake and River,Whale Watching,Boutique Hotels,Spring,Uber,Medium,Guesthouse,Luxury & Relaxation
55.0,solo,9199.0,Lake and River,Whale Watching,Ayurvedic Spas,Winter,AC-Bus,Low,Guesthouse,Luxury & Relaxation
46.0,solo,6488.0,Ayurvedic Spas,Boutique Hotels,Beaches,Winter,Uber,Medium,Guesthouse,Luxury & Relaxation
57.0,couples,8721.0,Boutique Hotels,Beaches,Lake and River,Spring,Van,Low,Guesthouse,Luxury & Relaxation
47.0,couples,6222.0,Ayurvedic Spas,Lake and River,Hill Country,Winter,PickMe,Medium,Guesthouse,Luxury & Relaxation
50.0,solo,6575.0,Boutique Hotels,Beaches,Ayurvedic Spas,Winter,AC-Bus,Medium,Hotel,Luxury & Relaxation
58.0,couples,9196.0,Boutique Hotels,Ayurvedic Spas,Hill Country,Winter,Uber,Low,Hotel,Luxury & Relaxation
48.0,group,6381.0,Hill Country,Whale Watching,Boutique Hotels,Winter,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
55.0,couples,6471.0,Ayurvedic Spas,Lake and River,Beaches,Spring,Uber,Low,Hotel,Luxury & Relaxation
53.0,group,6598.0,Hill Country,Whale Watching,Ayurvedic Spas,Winter,Uber,Low,Hotel,Luxury & Relaxation
48.0,couples,7377.0,Beaches,Ayurvedic Spas,Hill Country,Spring,PickMe,Medium,Guesthouse,Luxury & Relaxation
59.0,couples,6519.0,Beaches,Ayurvedic Spas,Boutique Hotels,Spring,Car,Low,Hotel,Luxury & Relaxation
46.0,group,6377.0,Whale Watching,Boutique Hotels,Beaches,Winter,AC-Bus,Medium,Hotel,Luxury & Relaxation
40.0,solo,6032.0,Boutique Hotels,Whale Watching,Lake and River,Winter,AC-Bus,Medium,Resort,Luxury & Relaxation
52.0,group,9867.0,Lake and River,Ayurvedic Spas,Whale Watching,Spring,AC-Bus,Low,Hotel,Luxury & Relaxation
66.0,group,8867.0,Boutique Hotels,Hill Country,Beaches,Winter,Uber,Low,Hotel,Luxury & Relaxation
65.0,couples,9571.0,Lake and River,Beaches,Ayurvedic Spas,Spring,Van,Low,Resort,Luxury & Relaxation
65.0,solo,9552.0,Ayurvedic Spas,Boutique Hotels,Beaches,Spring,Uber,Low,Guesthouse,Luxury & Relaxation
40.0,solo,7262.0,Lake and River,Hill Country,Beaches,Spring,AC-Bus,Medium,Resort,Luxury & Relaxation
41.0,solo,6634.0,Whale Watching,Beaches,Lake and River,Winter,Van,Medium,Hotel,Luxury & Relaxation
46.0,group,5459.0,Hill Country,Whale Watching,Beaches,Winter,Uber,Medium,Resort,Luxury & Relaxation
44.0,solo,6147.0,Lake and River,Beaches,Whale Watching,Spring,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
58.0,group,6914.0,Whale Watching,Boutique Hotels,Lake and River,Spring,Car,Low,Resort,Luxury & Relaxation
46.0,couples,7495.0,Hill Country,Ayurvedic Spas,Whale Watching,Winter,Car,Medium,Hotel,Luxury & Relaxation
51.0,couples,8635.0,Ayurvedic Spas,Lake and River,Boutique Hotels,Spring,Van,Low,Guesthouse,Luxury & Relaxation
55.0,couples,8395.0,Ayurvedic Spas,Lake and River,Hill Country,Winter,PickMe,Low,Resort,Luxury & Relaxation
69.0,group,9803.0,Boutique Hotels,Whale Watching,Beaches,Spring,Car,Low,Resort,Luxury & Relaxation
59.0,group,9284.0,Lake and River,Beaches,Hill Country,Spring,AC-Bus,Low,Resort,Luxury & Relaxation
48.0,couples,5249.0,Boutique Hotels,Hill Country,Ayurvedic Spas,Winter,PickMe,Medium,Resort,Luxury & Relaxation
59.0,group,8005.0,Whale Watching,Boutique Hotels,Beaches,Winter,Uber,Low,Resort,Luxury & Relaxation
45.0,solo,5149.0,Hill Country,Boutique Hotels,Lake and River,Spring,Uber,Medium,Resort,Luxury & Relaxation
40.0,couples,7965.0,Beaches,Hill Country,Lake and River,Winter,Car,Medium,Resort,Luxury & Relaxation
41.0,couples,7441.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Spring,Uber,Medium,Hotel,Luxury & Relaxation
42.0,couples,7060.0,Hill Country,Whale Watching,Ayurvedic Spas,Winter,Uber,Medium,Guesthouse,Luxury & Relaxation
50.0,solo,7007.0,Beaches,Hill Country,Whale Watching,Spring,Uber,Medium,Resort,Luxury & Relaxation
49.0,group,5358.0,Beaches,Hill Country,Lake and River,Spring,AC-Bus,Medium,Resort,Luxury & Relaxation
59.0,group,7773.0,Ayurvedic Spas,Lake and River,Boutique Hotels,Winter,AC-Bus,Low,Resort,Luxury & Relaxation
52.0,couples,7466.0,Lake and River,Boutique Hotels,Whale Watching,Spring,PickMe,Low,Resort,Luxury & Relaxation
41.0,solo,5826.0,Beaches,Boutique Hotels,Whale Watching,Spring,AC-Bus,Medium,Hotel,Luxury & Relaxation
45.0,group,5572.0,Beaches,Hill Country,Whale Watching,Winter,Car,Medium,Guesthouse,Luxury & Relaxation
53.0,group,6954.0,Whale Watching,Beaches,Ayurvedic Spas,Spring,Van,Low,Resort,Luxury & Relaxation
57.0,couples,6830.0,Hill Country,Ayurvedic Spas,Beaches,Spring,PickMe,Low,Hotel,Luxury & Relaxation
55.0,solo,8504.0,Lake and River,Whale Watching,Beaches,Spring,AC-Bus,Low,Resort,Luxury & Relaxation
69.0,group,9258.0,Beaches,Hill Country,Lake and River,Spring,Car,Low,Hotel,Luxury & Relaxation
68.0,group,8977.0,Hill Country,Beaches,Whale Watching,Spring,AC-Bus,Low,Guesthouse,Luxury & Relaxation
50.0,solo,6884.0,Beaches,Boutique Hotels,Lake and River,Spring,Car,Medium,Hotel,Luxury & Relaxation
57.0,couples,9652.0,Lake and River,Beaches,Ayurvedic Spas,Spring,Car,Low,Guesthouse,Luxury & Relaxation
59.0,group,8737.0,Hill Country,Whale Watching,Beaches,Winter,Car,Low,Hotel,Luxury & Relaxation
57.0,group,6704.0,Lake and River,Whale Watching,Hill Country,Winter,AC-Bus,Low,Resort,Luxury & Relaxation
48.0,group,5908.0,Hill Country,Lake and River,Whale Watching,Winter,Car,Medium,Guesthouse,Luxury & Relaxation
51.0,solo,7075.0,Beaches,Lake and River,Boutique Hotels,Spring,Uber,Low,Hotel,Luxury & Relaxation
50.0,couples,5555.0,Lake and River,Beaches,Whale Watching,Spring,Van,Medium,Hotel,Luxury & Relaxation
44.0,solo,5543.0,Whale Watching,Ayurvedic Spas,Hill Country,Winter,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
53.0,couples,7614.0,Lake and River,Hill Country,Beaches,Winter,Car,Low,Hotel,Luxury & Relaxation
52.0,solo,7166.0,Whale Watching,Boutique Hotels,Ayurvedic Spas,Summer,Van,Low,Resort,Luxury & Relaxation
42.0,group,7601.0,Lake and River,Whale Watching,Beaches,Winter,Uber,Medium,Hotel,Luxury & Relaxation
48.0,couples,6882.0,Hill Country,Lake and River,Whale Watching,Spring,PickMe,Medium,Guesthouse,Luxury & Relaxation
58.0,solo,6464.0,Hill Country,Beaches,Boutique Hotels,Winter,Uber,Low,Resort,Luxury & Relaxation
60.0,solo,6117.0,Boutique Hotels,Lake and River,Beaches,Winter,Van,Low,Hotel,Luxury & Relaxation
58.0,group,6374.0,Ayurvedic Spas,Lake and River,Hill Country,Spring,Van,Low,Hotel,Luxury & Relaxation
47.0,couples,7491.0,Lake and River,Beaches,Boutique Hotels,Spring,Uber,Medium,Hotel,Luxury & Relaxation
50.0,solo,7050.0,Whale Watching,Hill Country,Lake and River,Spring,Van,Medium,Guesthouse,Luxury & Relaxation
57.0,group,8053.0,Hill Country,Lake and River,Ayurvedic Spas,Spring,Uber,Low,Resort,Luxury & Relaxation
53.0,couples,6062.0,Lake and River,Whale Watching,Ayurvedic Spas,Winter,PickMe,Low,Hotel,Luxury & Relaxation
58.0,solo,9186.0,Ayurvedic Spas,Whale Watching,Beaches,Spring,Car,Low,Hotel,Luxury & Relaxation
49.0,group,6066.0,Lake and River,Hill Country,Beaches,Spring,Van,Medium,Hotel,Luxury & Relaxation
57.0,group,9001.0,Beaches,Boutique Hotels,Lake and River,Winter,AC-Bus,Low,Resort,Luxury & Relaxation
46.0,solo,7225.0,Hill Country,Boutique Hotels,Whale Watching,Spring,Uber,Medium,Hotel,Luxury & Relaxation
49.0,couples,6405.0,Whale Watching,Hill Country,Boutique Hotels,Spring,Car,Medium,Hotel,Luxury & Relaxation
57.0,solo,8510.0,Beaches,Lake and River,Whale Watching,Summer,Car,Low,Resort,Luxury & Relaxation
54.0,couples,8325.0,Hill Country,Whale Watching,Boutique Hotels,Spring,Car,Low,Hotel,Luxury & Relaxation
47.0,couples,6061.0,Lake and River,Hill Country,Beaches,Spring,Uber,Medium,Guesthouse,Luxury & Relaxation
56.0,group,8973.0,Lake and River,Whale Watching,Boutique Hotels,Spring,Car,Low,Hotel,Luxury & Relaxation
41.0,couples,6832.0,Beaches,Hill Country,Boutique Hotels,Winter,Car,Medium,Resort,Luxury & Relaxation
52.0,solo,9153.0,Ayurvedic Spas,Whale Watching,Hill Country,Winter,AC-Bus,Low,Hotel,Luxury & Relaxation
59.0,solo,8258.0,Beaches,Whale Watching,Ayurvedic Spas,Spring,Van,Low,Guesthouse,Luxury & Relaxation
51.0,group,6375.0,Ayurvedic Spas,Hill Country,Beaches,Spring,Car,Low,Guesthouse,Luxury & Relaxation
47.0,group,6622.0,Boutique Hotels,Whale Watching,Ayurvedic Spas,Winter,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
51.0,couples,9827.0,Lake and River,Ayurvedic Spas,Beaches,Winter,Van,Low,Hotel,Luxury & Relaxation
43.0,group,6118.0,Boutique Hotels,Whale Watching,Hill Country,Winter,Car,Medium,Resort,Luxury & Relaxation
54.0,solo,6456.0,Lake and River,Boutique Hotels,Beaches,Winter,Car,Low,Guesthouse,Luxury & Relaxation
53.0,solo,7649.0,Beaches,Whale Watching,Boutique Hotels,Spring,Uber,Low,Resort,Luxury & Relaxation
59.0,group,6756.0,Hill Country,Boutique Hotels,Ayurvedic Spas,Winter,Car,Low,Hotel,Luxury & Relaxation
46.0,couples,7805.0,Hill Country,Boutique Hotels,Lake and River,Spring,Uber,Medium,Guesthouse,Luxury & Relaxation
52.0,solo,9177.0,Hill Country,Ayurvedic Spas,Beaches,Spring,Uber,Low,Guesthouse,Luxury & Relaxation
52.0,couples,8975.0,Beaches,Lake and River,Boutique Hotels,Winter,PickMe,Low,Hotel,Luxury & Relaxation
44.0,group,6567.0,Hill Country,Ayurvedic Spas,Whale Watching,Spring,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
59.0,couples,6696.0,Beaches,Hill Country,Whale Watching,Winter,Van,Low,Resort,Luxury & Relaxation
53.0,couples,7653.0,Lake and River,Whale Watching,Boutique Hotels,Winter,Van,Low,Guesthouse,Luxury & Relaxation
56.0,solo,8999.0,Lake and River,Boutique Hotels,Beaches,Winter,Car,Low,Guesthouse,Luxury & Relaxation
49.0,solo,5594.0,Ayurvedic Spas,Beaches,Lake and River,Winter,Van,Medium,Guesthouse,Luxury & Relaxation
40.0,group,6319.0,Hill Country,Boutique Hotels,Lake and River,Spring,Car,Medium,Guesthouse,Luxury & Relaxation
59.0,group,7605.0,Beaches,Boutique Hotels,Hill Country,Winter,Van,Low,Hotel,Luxury & Relaxation
42.0,solo,7271.0,Lake and River,Ayurvedic Spas,Whale Watching,Spring,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
42.0,solo,7500.0,Boutique Hotels,Whale Watching,Lake and River,Winter,AC-Bus,Medium,Resort,Luxury & Relaxation
65.0,group,7447.0,Whale Watching,Beaches,Boutique Hotels,Spring,Uber,Low,Resort,Luxury & Relaxation
44.0,group,7738.0,Boutique Hotels,Lake and River,Whale Watching,Winter,Car,Medium,Resort,Luxury & Relaxation
53.0,solo,8611.0,Ayurvedic Spas,Boutique Hotels,Lake and River,Winter,Van,Low,Guesthouse,Luxury & Relaxation
54.0,couples,9895.0,Ayurvedic Spas,Hill Country,Lake and River,Winter,Uber,Low,Guesthouse,Luxury & Relaxation
41.0,solo,6304.0,Lake and River,Ayurvedic Spas,Hill Country,Spring,Van,Medium,Guesthouse,Luxury & Relaxation
58.0,solo,6338.0,Whale Watching,Boutique Hotels,Beaches,Winter,Van,Low,Guesthouse,Luxury & Relaxation
51.0,couples,8520.0,Ayurvedic Spas,Whale Watching,Hill Country,Spring,PickMe,Low,Resort,Luxury & Relaxation
54.0,couples,9128.0,Whale Watching,Boutique Hotels,Hill Country,Winter,PickMe,Low,Hotel,Luxury & Relaxation
41.0,couples,7176.0,Beaches,Boutique Hotels,Ayurvedic Spas,Winter,Car,Medium,Guesthouse,Luxury & Relaxation
41.0,group,5385.0,Ayurvedic Spas,Lake and River,Hill Country,Spring,AC-Bus,Medium,Resort,Luxury & Relaxation
50.0,couples,5372.0,Boutique Hotels,Lake and River,Hill Country,Spring,Van,Medium,Guesthouse,Luxury & Relaxation
55.0,group,8537.0,Ayurvedic Spas,Beaches,Boutique Hotels,Spring,Car,Low,Guesthouse,Luxury & Relaxation
48.0,group,7676.0,Hill Country,Ayurvedic Spas,Beaches,Winter,Uber,Medium,Guesthouse,Luxury & Relaxation
47.0,couples,7467.0,Hill Country,Boutique Hotels,Ayurvedic Spas,Spring,Car,Medium,Resort,Luxury & Relaxation
42.0,couples,5180.0,Beaches,Hill Country,Whale Watching,Winter,Van,Medium,Hotel,Luxury & Relaxation
42.0,couples,5833.0,Hill Country,Whale Watching,Beaches,Spring,PickMe,Medium,Guesthouse,Luxury & Relaxation
51.0,solo,8791.0,Ayurvedic Spas,Boutique Hotels,Beaches,Spring,Van,Low,Resort,Luxury & Relaxation
64.0,solo,8186.0,Ayurvedic Spas,Lake and River,Whale Watching,Winter,Uber,Low,Guesthouse,Luxury & Relaxation
45.0,couples,6795.0,Hill Country,Ayurvedic Spas,Lake and River,Spring,Car,Medium,Hotel,Luxury & Relaxation
50.0,group,6837.0,Hill Country,Boutique Hotels,Lake and River,Winter,AC-Bus,Medium,Resort,Luxury & Relaxation
51.0,couples,9203.0,Hill Country,Lake and River,Beaches,Spring,PickMe,Low,Guesthouse,Luxury & Relaxation
50.0,solo,5236.0,Beaches,Hill Country,Whale Watching,Spring,Van,Medium,Resort,Luxury & Relaxation
46.0,couples,6914.0,Hill Country,Whale Watching,Ayurvedic Spas,Spring,Car,Medium,Guesthouse,Luxury & Relaxation
49.0,couples,7791.0,Hill Country,Boutique Hotels,Lake and River,Spring,Uber,Medium,Resort,Luxury & Relaxation
63.0,couples,8295.0,Lake and River,Boutique Hotels,Beaches,Winter,Uber,Low,Resort,Luxury & Relaxation
41.0,couples,5824.0,Lake and River,Hill Country,Whale Watching,Summer,PickMe,Medium,Guesthouse,Luxury & Relaxation
40.0,solo,6581.0,Lake and River,Beaches,Boutique Hotels,Winter,AC-Bus,Medium,Hotel,Luxury & Relaxation
52.0,solo,7351.0,Lake and River,Hill Country,Boutique Hotels,Spring,Van,Low,Guesthouse,Luxury & Relaxation
40.0,couples,7541.0,Hill Country,Boutique Hotels,Lake and River,Spring,Van,Medium,Guesthouse,Luxury & Relaxation
55.0,couples,6052.0,Beaches,Boutique Hotels,Whale Watching,Winter,Van,Low,Resort,Luxury & Relaxation
47.0,couples,6883.0,Whale Watching,Boutique Hotels,Beaches,Winter,Uber,Medium,Resort,Luxury & Relaxation
41.0,solo,5148.0,Beaches,Ayurvedic Spas,Boutique Hotels,Winter,Uber,Medium,Guesthouse,Luxury & Relaxation
40.0,solo,7483.0,Boutique Hotels,Whale Watching,Ayurvedic Spas,Spring,AC-Bus,Medium,Hotel,Luxury & Relaxation
53.0,couples,9042.0,Lake and River,Boutique Hotels,Hill Country,Spring,Van,Low,Hotel,Luxury & Relaxation
51.0,solo,6595.0,Lake and River,Whale Watching,Boutique Hotels,Spring,Van,Low,Hotel,Luxury & Relaxation
56.0,couples,9810.0,Beaches,Ayurvedic Spas,Hill Country,Spring,Van,Low,Hotel,Luxury & Relaxation
59.0,group,7621.0,Boutique Hotels,Whale Watching,Hill Country,Spring,Van,Low,Hotel,Luxury & Relaxation
45.0,couples,7840.0,Boutique Hotels,Lake and River,Ayurvedic Spas,Spring,PickMe,Medium,Resort,Luxury & Relaxation
49.0,couples,6962.0,Beaches,Hill Country,Ayurvedic Spas,Spring,PickMe,Medium,Resort,Luxury & Relaxation
59.0,group,7020.0,Hill Country,Whale Watching,Beaches,Spring,Van,Low,Guesthouse,Luxury & Relaxation
50.0,couples,6060.0,Boutique Hotels,Ayurvedic Spas,Beaches,Winter,Car,Medium,Guesthouse,Luxury & Relaxation
52.0,solo,6594.0,Beaches,Lake and River,Whale Watching,Spring,AC-Bus,Low,Hotel,Luxury & Relaxation
51.0,couples,6922.0,Lake and River,Whale Watching,Beaches,Spring,Uber,Low,Guesthouse,Luxury & Relaxation
52.0,solo,7029.0,Beaches,Hill Country,Ayurvedic Spas,Winter,Van,Low,Hotel,Luxury & Relaxation
47.0,solo,6102.0,Ayurvedic Spas,Whale Watching,Hill Country,Spring,Car,Medium,Guesthouse,Luxury & Relaxation
43.0,solo,7679.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Spring,Car,Medium,Guesthouse,Luxury & Relaxation
51.0,couples,9330.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Fall,Uber,Low,Resort,Luxury & Relaxation
59.0,solo,8084.0,Hill Country,Lake and River,Beaches,Spring,Van,Low,Hotel,Luxury & Relaxation
59.0,solo,9577.0,Beaches,Whale Watching,Hill Country,Winter,Van,Low,Guesthouse,Luxury & Relaxation
48.0,solo,6458.0,Beaches,Ayurvedic Spas,Hill Country,Winter,AC-Bus,Medium,Guesthouse,Luxury & Relaxation
55.0,group,9255.0,Beaches,Ayurvedic Spas,Whale Watching,Spring,Uber,Low,Guesthouse,Luxury & Relaxation
57.0,group,8413.0,Whale Watching,Lake and River,Hill Country,Summer,Uber,Low,Guesthouse,Luxury & Relaxation
53.0,solo,6972.0,Whale Watching,Boutique Hotels,Lake and River,Winter,Car,Low,Resort,Luxury & Relaxation
41.0,couples,6965.0,Boutique Hotels,Whale Watching,Hill Country,Winter,PickMe,Medium,Resort,Luxury & Relaxation
41.0,couples,7149.0,Whale Watching,Ayurvedic Spas,Hill Country,Winter,Uber,Medium,Resort,Luxury & Relaxation
54.0,solo,8908.0,Ayurvedic Spas,Lake and River,Hill Country,Spring,Uber,Low,Resort,Luxury & Relaxation
51.0,group,6312.0,Whale Watching,Hill Country,Lake and River,Spring,Van,Low,Hotel,Luxury & Relaxation
43.0,couples,7611.0,Boutique Hotels,Lake and River,Hill Country,Spring,PickMe,Medium,Hotel,Luxury & Relaxation
50.0,solo,5079.0,Hill Country,Boutique Hotels,Lake and River,Winter,Van,Medium,Hotel,Luxury & Relaxation
58.0,solo,9760.0,Beaches,Lake and River,Boutique Hotels,Fall,AC-Bus,Low,Guesthouse,Luxury & Relaxation
53.0,couples,6928.0,Boutique Hotels,Beaches,Lake and River,Winter,Uber,Low,Hotel,Luxury & Relaxation
43.0,couples,6283.0,Hill Country,Whale Watching,Lake and River,Spring,Van,Medium,Guesthouse,Luxury & Relaxation
43.0,couples,6635.0,Ayurvedic Spas,Lake and River,Boutique Hotels,Winter,PickMe,Medium,Resort,Luxury & Relaxation
54.0,group,7599.0,Beaches,Whale Watching,Hill Country,Summer,Car,Low,Resort,Luxury & Relaxation
41.0,solo,6728.0,Ayurvedic Spas,Beaches,Lake and River,Spring,Car,Medium,Hotel,Luxury & Relaxation
51.0,couples,8726.0,Ayurvedic Spas,Boutique Hotels,Whale Watching,Winter,PickMe,Low,Hotel,Luxury & Relaxation
48.0,solo,6000.0,Ayurvedic Spas,Hill Country,Beaches,Spring,Car,Medium,Hotel,Luxury & Relaxation
53.0,solo,7847.0,Hill Country,Boutique Hotels,Beaches,Winter,AC-Bus,Low,Resort,Luxury & Relaxation
55.0,solo,6819.0,Whale Watching,Lake and River,Boutique Hotels,Spring,Van,Low,Guesthouse,Luxury & Relaxation
52.0,couples,6025.0,Whale Watching,Beaches,Boutique Hotels,Fall,Car,Low,Hotel,Luxury & Relaxation
57.0,group,7411.0,Whale Watching,Lake and River,Beaches,Summer,Uber,Low,Hotel,Luxury & Relaxation
49.0,solo,7821.0,Hill Country,Boutique Hotels,Ayurvedic Spas,Spring,Uber,Medium,Hotel,Luxury & Relaxation
45.0,couples,7034.0,Beaches,Hill Country,Boutique Hotels,Fall,Car,Medium,Resort,Luxury & Relaxation
53.0,couples,6445.0,Ayurvedic Spas,Lake and River,Beaches,Winter,Car,Low,Resort,Luxury & Relaxation
44.0,solo,6959.0,Hill Country,Beaches,Whale Watching,Spring,Car,Medium,Resort,Luxury & Relaxation
48.0,couples,5017.0,Whale Watching,Lake and River,Beaches,Winter,Van,Medium,Hotel,Luxury & Relaxation
58.0,group,9535.0,Hill Country,Boutique Hotels,Lake and River,Spring,Uber,Low,Resort,Luxury & Relaxation
43.0,couples,6901.0,Boutique Hotels,Lake and River,Hill Country,Spring,Car,Medium,Guesthouse,Luxury & Relaxation
52.0,solo,6336.0,Hill Country,Beaches,Lake and River,Spring,Van,Low,Resort,Luxury & Relaxation
63.0,group,9103.0,Whale Watching,Beaches,Ayurvedic Spas,Winter,AC-Bus,Low,Resort,Luxury & Relaxation
52.0,couples,7066.0,Lake and River,Hill Country,Whale Watching,Summer,Car,Low,Resort,Luxury & Relaxation
46.0,solo,6228.0,Whale Watching,Lake and River,Ayurvedic Spas,Winter,Van,Medium,Hotel,Luxury & Relaxation
44.0,group,7323.0,Whale Watching,Beaches,Hill Country,Winter,Van,Medium,Resort,Luxury & Relaxation
44.0,couples,6327.0,Beaches,Hill Country,Whale Watching,Winter,PickMe,Medium,Guesthouse,Luxury & Relaxation
52.0,couples,9744.0,Whale Watching,Lake and River,Beaches,Spring,Car,Low,Guesthouse,Luxury & Relaxation
59.0,couples,9128.0,Whale Watching,Boutique Hotels,Lake and River,Winter,Car,Low,Resort,Luxury & Relaxation
48.0,group,6732.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Spring,Van,Medium,Hotel,Luxury & Relaxation
41.0,couples,5061.0,Hill Country,Lake and River,Ayurvedic Spas,Winter,Car,Medium,Hotel,Luxury & Relaxation
49.0,group,5242.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Summer,AC-Bus,Medium,Resort,Luxury & Relaxation
48.0,solo,5020.0,Boutique Hotels,Beaches,Whale Watching,Winter,Uber,Medium,Guesthouse,Luxury & Relaxation
55.0,couples,6071.0,Boutique Hotels,Ayurvedic Spas,Hill Country,Fall,Car,Low,Resort,Luxury & Relaxation
48.0,couples,6871.0,Lake and River,Hill Country,Boutique Hotels,Winter,Car,Medium,Hotel,Luxury & Relaxation
53.0,couples,9008.0,Beaches,Lake and River,Boutique Hotels,Fall,PickMe,Low,Resort,Luxury & Relaxation
58.0,solo,6384.0,Boutique Hotels,Lake and River,Beaches,Spring,Car,Low,Resort,Luxury & Relaxation
41.0,couples,7634.0,Boutique Hotels,Ayurvedic Spas,Whale Watching,Winter,Van,Medium,Resort,Luxury & Relaxation
49.0,solo,7018.0,Ayurvedic Spas,Whale Watching,Boutique Hotels,Spring,Van,Medium,Resort,Luxury & Relaxation
42.0,solo,7322.0,Hill Country,Lake and River,Boutique Hotels,Spring,Van,Medium,Resort,Luxury & Relaxation
47.0,group,5593.0,Lake and River,Hill Country,Beaches,Spring,Uber,Medium,Guesthouse,Luxury & Relaxation
49.0,solo,7678.0,Lake and River,Beaches,Boutique Hotels,Spring,Car,Medium,Resort,Luxury & Relaxation
54.0,group,8588.0,Hill Country,Whale Watching,Boutique Hotels,Fall,Uber,Low,Resort,Luxury & Relaxation
55.0,group,9623.0,Lake and River,Boutique Hotels,Ayurvedic Spas,Winter,Uber,Low,Hotel,Luxury & Relaxation
47.0,solo,6065.0,Boutique Hotels,Ayurvedic Spas,Whale Watching,Winter,Uber,Medium,Resort,Luxury & Relaxation
41.0,couples,7394.0,Ayurvedic Spas,Boutique Hotels,Hill Country,Winter,Van,Medium,Guesthouse,Luxury & Relaxation
56.0,group,9447.0,Hill Country,Whale Watching,Ayurvedic Spas,Winter,Van,Low,Hotel,Luxury & Relaxation
42.0,couples,5317.0,Hill Country,Beaches,Lake and River,Winter,Uber,Medium,Hotel,Luxury & Relaxation
52.0,solo,9816.0,Lake and River,Whale Watching,Boutique Hotels,Summer,Car,Low,Guesthouse,Luxury & Relaxation
61.0,solo,9440.0,Boutique Hotels,Hill Country,Ayurvedic Spas,Spring,Uber,Low,Hotel,Luxury & Relaxation
53.0,solo,9114.0,Lake and River,Ayurvedic Spas,Beaches,Spring,Uber,Low,Resort,Luxury & Relaxation
56.0,group,8971.0,Hill Country,Boutique Hotels,Lake and River,Spring,AC-Bus,Low,Resort,Luxury & Relaxation
58.0,solo,9408.0,Lake and River,Ayurvedic Spas,Boutique Hotels,Spring,Uber,Low,Guesthouse,Luxury & Relaxation
49.0,couples,7956.0,Ayurvedic Spas,Hill Country,Boutique Hotels,Spring,Van,Medium,Hotel,Luxury & Relaxation
55.0,solo,6536.0,Hill Country,Boutique Hotels,Ayurvedic Spas,Winter,Uber,Low,Hotel,Luxury & Relaxation
